age,NativeCountry,WorkClass,EducationNumber,EducationLevel,MaritalStatus,Occupation,Relationship,CapitalGain,CapitalLoss,HoursPerWeek
46,0,2,10,4,2,3,0,1.920083130816859,-0.21637494832950377,50
42,0,5,14,6,4,9,1,-0.1473664551602441,-0.21637494832950377,70
24,0,2,9,3,4,11,3,-0.1473664551602441,-0.21637494832950377,45
50,0,4,9,3,2,4,0,-0.1473664551602441,-0.21637494832950377,84
34,0,3,9,3,4,4,3,-0.1473664551602441,-0.21637494832950377,55
56,0,2,10,4,0,7,1,-0.1473664551602441,-0.21637494832950377,30
36,1,2,9,3,4,11,2,-0.1473664551602441,-0.21637494832950377,40
33,0,2,9,3,2,2,0,-0.1473664551602441,-0.21637494832950377,40
25,0,2,14,6,4,9,1,0.4925190996050335,-0.21637494832950377,37
48,1,4,14,6,2,11,0,-0.1473664551602441,-0.21637494832950377,50
28,0,4,14,6,2,3,5,-0.1473664551602441,-0.21637494832950377,30
69,0,2,7,2,2,9,0,-0.1473664551602441,-0.21637494832950377,45
28,1,2,15,10,2,9,0,-0.1473664551602441,-0.21637494832950377,99
26,0,2,9,3,4,7,3,-0.1473664551602441,-0.21637494832950377,30
37,0,2,10,4,0,2,1,-0.1473664551602441,-0.21637494832950377,50
38,0,2,10,4,6,0,4,-0.1473664551602441,-0.21637494832950377,40
51,0,5,9,3,4,13,1,-0.1473664551602441,-0.21637494832950377,40
32,1,2,3,1,2,7,0,-0.1473664551602441,-0.21637494832950377,40
42,0,5,13,5,2,9,0,-0.1473664551602441,-0.21637494832950377,40
43,0,2,9,3,2,0,0,-0.1473664551602441,-0.21637494832950377,40
27,0,2,9,3,2,0,0,-0.1473664551602441,-0.21637494832950377,39
19,0,2,9,3,4,11,3,-0.1473664551602441,-0.21637494832950377,20
29,0,2,9,3,0,11,1,-0.1473664551602441,-0.21637494832950377,34
44,0,2,13,5,2,3,0,-0.1473664551602441,-0.21637494832950377,40
29,0,2,9,3,0,7,1,-0.1473664551602441,-0.21637494832950377,40
39,0,2,10,4,2,6,0,-0.1473664551602441,-0.21637494832950377,40
22,0,2,9,3,4,5,3,-0.1473664551602441,-0.21637494832950377,40
20,1,2,9,3,4,11,3,-0.1473664551602441,-0.21637494832950377,40
23,0,5,9,3,4,10,3,-0.1473664551602441,-0.21637494832950377,40
44,1,3,9,3,2,13,0,-0.1473664551602441,-0.21637494832950377,60
38,0,2,11,8,2,12,5,-0.1473664551602441,-0.21637494832950377,36
19,0,2,10,4,4,3,3,-0.1473664551602441,-0.21637494832950377,28
50,0,4,9,3,2,4,0,-0.1473664551602441,-0.21637494832950377,30
53,0,5,14,6,0,9,1,-0.1473664551602441,-0.21637494832950377,40
54,0,4,13,5,0,13,1,-0.1473664551602441,-0.21637494832950377,65
46,0,2,14,6,0,3,1,-0.1473664551602441,-0.21637494832950377,50
31,0,2,9,3,2,6,0,-0.1473664551602441,-0.21637494832950377,40
43,0,2,10,4,2,3,0,-0.1473664551602441,-0.21637494832950377,49
57,0,3,9,3,2,0,0,-0.1473664551602441,-0.21637494832950377,50
40,0,2,10,4,2,0,5,-0.1473664551602441,-0.21637494832950377,35
43,0,2,11,8,0,9,1,-0.1473664551602441,-0.21637494832950377,48
25,0,5,10,4,2,0,5,-0.1473664551602441,-0.21637494832950377,40
61,0,2,4,1,0,7,4,-0.1473664551602441,-0.21637494832950377,40
31,0,2,10,4,3,13,4,-0.1473664551602441,-0.21637494832950377,50
57,0,2,10,4,6,12,1,-0.1473664551602441,-0.21637494832950377,16
23,0,2,13,5,4,9,1,-0.1473664551602441,-0.21637494832950377,38
60,0,2,10,4,2,11,0,-0.1473664551602441,-0.21637494832950377,40
32,0,1,9,3,2,7,0,-0.1473664551602441,-0.21637494832950377,41
45,1,2,9,3,3,2,1,-0.1473664551602441,-0.21637494832950377,72
44,1,4,9,3,2,9,5,-0.1473664551602441,-0.21637494832950377,40
30,1,2,9,3,2,6,0,-0.1473664551602441,-0.21637494832950377,60
34,0,2,10,4,2,3,0,-0.1473664551602441,-0.21637494832950377,50
17,0,2,5,2,4,11,3,-0.1473664551602441,-0.21637494832950377,22
24,0,2,11,8,4,0,3,-0.1473664551602441,-0.21637494832950377,20
24,0,0,10,4,4,3,3,-0.1473664551602441,-0.21637494832950377,40
59,0,4,10,4,2,11,0,-0.1473664551602441,-0.21637494832950377,40
31,0,2,13,5,4,11,3,-0.1473664551602441,-0.21637494832950377,45
35,0,2,13,5,2,3,0,0.45619011326997255,-0.21637494832950377,47
28,0,2,11,8,4,0,1,-0.1473664551602441,-0.21637494832950377,45
30,0,2,12,9,0,0,3,-0.1473664551602441,4.0949553063859065,40
54,0,2,10,4,2,11,0,-0.1473664551602441,-0.21637494832950377,32
39,0,4,13,5,2,11,0,-0.1473664551602441,-0.21637494832950377,60
39,0,2,9,3,5,6,1,-0.1473664551602441,-0.21637494832950377,40
28,0,2,13,5,4,11,3,-0.1473664551602441,-0.21637494832950377,40
62,0,3,13,5,2,4,0,-0.1473664551602441,5.692741149932536,60
44,0,1,10,4,4,7,3,-0.1473664551602441,-0.21637494832950377,40
56,0,4,7,2,2,2,0,-0.1473664551602441,-0.21637494832950377,20
40,0,2,9,3,0,0,4,-0.1473664551602441,-0.21637494832950377,30
51,0,4,8,2,2,7,0,-0.1473664551602441,-0.21637494832950377,99
51,0,4,9,3,2,2,0,0.28431547716205174,-0.21637494832950377,60
45,0,4,10,4,5,11,4,-0.1473664551602441,-0.21637494832950377,50
32,1,2,3,1,5,4,2,-0.1473664551602441,-0.21637494832950377,60
59,0,2,10,4,5,0,2,0.3101861189461103,-0.21637494832950377,40
42,0,2,11,8,5,9,4,-0.1473664551602441,-0.21637494832950377,40
36,0,2,9,3,0,0,4,-0.1473664551602441,-0.21637494832950377,40
31,0,2,9,3,0,9,1,-0.1473664551602441,-0.21637494832950377,40
21,1,2,7,2,4,8,2,-0.1473664551602441,-0.21637494832950377,40
50,0,2,7,2,0,11,1,-0.1473664551602441,-0.21637494832950377,40
30,0,0,9,3,5,0,2,-0.1473664551602441,-0.21637494832950377,35
33,0,5,10,4,2,2,0,-0.1473664551602441,-0.21637494832950377,4
56,0,2,9,3,2,5,0,-0.1473664551602441,-0.21637494832950377,40
43,0,4,11,8,2,2,0,-0.1473664551602441,-0.21637494832950377,40
32,0,2,13,5,4,3,2,-0.1473664551602441,5.763699479890962,50
