AgeGroup,Race,Sex,PriorsCount,ChargeDegree
1,0,1,4,2
2,1,1,14,2
2,1,2,0,1
2,1,1,0,2
1,0,1,3,1
2,1,2,0,1
2,0,1,0,2
3,1,2,1,2
2,0,1,7,2
2,0,1,3,2
2,1,1,6,2
2,1,1,5,2
3,0,1,13,2
1,0,1,1,2
2,1,1,0,1
1,1,2,0,2
2,1,1,1,1
2,0,1,8,2
2,0,1,5,2
2,0,1,0,2
2,0,1,4,2
3,1,1,0,2
2,0,1,21,2
2,1,1,0,1
1,0,2,2,2
3,0,1,2,1
2,1,1,2,1
3,0,2,7,2
2,0,1,0,2
2,1,1,9,1
2,0,1,13,2
3,1,1,0,1
2,0,1,0,2
2,1,1,1,2
2,0,1,15,2
1,0,1,2,2
3,0,1,4,1
3,1,1,8,2
2,0,1,5,2
2,0,1,15,2
2,1,1,4,1
1,0,1,1,2
2,0,1,4,2
2,0,1,6,2
3,0,2,0,1
2,0,1,1,1
2,0,1,5,2
2,1,1,1,2
2,0,1,2,2
1,0,1,1,1
1,1,1,0,2
2,0,2,1,2
2,0,1,0,2
2,0,1,1,1
2,0,1,8,1
2,0,1,14,2
1,0,1,2,2
2,0,2,1,1
2,0,1,9,2
2,1,1,9,2
1,1,2,0,2
2,1,1,2,2
3,1,2,0,1
1,0,1,1,1
2,0,1,1,2
2,1,2,0,2
1,1,1,8,2
2,1,1,0,2
2,1,1,0,1
2,1,2,1,2
2,1,1,1,2
1,0,1,3,2
2,1,1,5,1
2,1,1,0,2
2,0,1,5,2
2,0,1,3,2
2,1,1,1,2
2,0,1,10,2
1,0,1,0,2
2,0,1,28,2
2,0,1,1,1
2,1,1,13,2
2,0,1,3,2
3,1,1,3,1
2,0,1,19,2
2,1,1,6,2
2,1,2,2,2
2,1,1,1,1
2,1,2,10,2
2,1,1,2,1
2,0,1,3,2
2,1,1,2,1
1,0,2,1,2
2,1,2,0,1
2,0,1,9,2
2,0,1,11,2
2,0,1,8,1
2,0,2,0,2
2,0,2,7,2
2,0,1,2,2
1,0,2,0,2
2,1,2,0,1
3,0,2,1,2
2,0,2,2,1
2,1,1,1,1
2,1,2,3,2
2,0,1,1,2
3,1,1,2,1
1,0,1,1,2
3,1,1,6,2
2,1,1,0,2
2,0,1,1,1
2,0,2,5,2
3,0,1,8,2
2,0,1,6,1
3,1,1,1,1
1,0,1,1,2
3,0,1,23,1
1,0,1,0,1
3,0,1,3,2
3,1,1,8,1
2,0,1,2,1
2,1,1,0,2
2,0,1,9,2
3,1,1,2,2
2,0,1,2,1
1,0,2,1,1
3,1,1,1,2
2,1,2,0,1
2,1,1,4,1
2,0,2,23,2
2,0,1,2,2
2,0,1,0,1
2,0,2,0,2
2,0,1,2,2
2,0,2,1,2
3,1,1,7,2
2,0,1,15,2
3,1,2,0,1
3,0,1,0,2
2,1,1,4,2
2,0,2,2,2
2,0,2,5,1
2,0,1,11,2
2,0,1,0,1
1,0,1,2,2
2,0,1,0,1
3,1,1,0,2
3,0,1,0,2
2,1,1,1,2
2,0,1,11,1
1,0,1,0,2
2,0,1,4,2
2,1,1,0,2
2,1,1,0,2
2,0,1,14,2
2,0,1,25,2
2,1,1,8,1
2,0,1,0,2
1,1,1,1,1
1,1,2,5,2
1,0,1,1,2
2,0,1,2,2
2,0,1,4,2
2,0,2,2,2
1,0,1,0,2
3,0,2,0,2
1,0,2,0,2
3,0,2,0,2
2,1,1,0,2
2,1,1,0,2
2,0,1,11,2
1,0,1,3,1
1,1,2,1,2
2,0,2,2,1
3,0,1,3,2
2,0,1,0,2
3,1,1,1,1
1,0,1,0,1
2,1,1,5,1
2,0,1,5,1
1,1,1,0,2
2,0,1,5,2
2,0,1,6,2
1,0,2,0,1
3,1,1,0,2
2,1,1,5,2
2,0,2,5,2
2,0,1,0,1
2,1,1,0,1
2,1,1,3,1
2,0,1,0,2
1,0,1,0,2
3,1,2,0,1
3,1,1,0,1
2,0,1,7,2
1,0,1,0,2
2,1,1,8,2
1,0,1,2,2
3,1,1,36,2
2,1,1,2,1
2,0,2,0,2
2,1,2,2,1
2,1,1,1,2
1,0,2,0,2
2,1,1,0,1
1,0,1,0,2
2,0,1,0,2
2,1,2,0,1
2,0,1,12,2
1,0,1,1,2
2,1,1,0,2
1,0,1,2,2
1,1,2,0,2
3,1,1,0,1
1,1,1,2,2
2,0,1,6,1
1,1,1,0,2
1,0,2,0,2
3,0,1,3,2
2,0,1,2,1
3,1,2,0,1
1,0,1,3,2
2,1,1,0,2
1,0,1,1,2
1,1,1,2,1
1,0,1,4,2
1,0,1,0,2
2,1,1,1,1
2,1,1,0,2
2,0,1,7,2
3,1,2,1,1
1,0,2,0,2
2,0,1,1,2
2,0,1,1,1
2,0,1,6,2
1,0,1,4,2
1,1,1,3,1
2,0,1,23,2
2,0,1,2,2
3,0,1,2,2
2,0,1,7,2
3,1,1,23,2
3,1,2,0,1
2,0,1,12,2
2,0,1,5,2
2,1,1,3,1
2,0,1,2,2
1,0,1,0,1
2,1,1,0,2
3,0,1,5,2
2,0,1,3,2
2,1,2,0,1
3,1,1,0,1
1,0,2,0,2
3,0,1,11,2
2,1,1,0,1
1,1,1,0,2
3,1,2,2,1
2,0,1,7,1
1,1,1,1,2
1,0,1,0,2
2,1,1,0,1
3,0,1,21,1
1,0,1,3,2
2,1,1,0,2
3,0,1,1,2
2,1,1,3,1
2,0,1,3,2
1,1,1,3,2
2,1,1,0,2
2,0,1,2,2
1,0,2,3,2
1,1,1,1,2
2,1,1,2,1
2,1,1,0,1
1,0,1,1,2
1,0,1,1,1
3,1,1,4,2
3,0,2,3,2
2,0,1,1,1
2,0,1,5,2
1,1,1,0,1
3,0,2,2,2
2,1,1,0,1
2,0,1,13,1
2,0,1,1,1
2,0,1,3,2
3,1,1,6,2
2,1,1,1,2
3,0,1,5,2
2,0,1,10,2
2,0,1,5,2
3,1,1,2,2
2,0,1,0,2
1,0,1,6,2
2,0,1,8,2
1,0,2,6,2
3,0,1,2,1
3,0,1,12,1
2,0,1,1,1
1,0,1,1,2
3,1,1,0,2
2,1,1,3,2
3,1,1,3,2
2,1,1,4,2
3,1,1,0,2
3,1,1,1,2
1,1,1,2,1
2,0,1,1,2
2,1,2,0,1
2,1,1,0,1
3,0,1,0,1
2,0,1,4,2
2,0,1,0,2
2,1,1,1,1
3,0,1,33,2
2,1,1,2,2
3,1,1,1,1
2,1,1,1,2
3,1,1,4,1
2,0,2,0,1
3,1,2,0,1
2,0,1,2,1
2,0,2,6,2
3,0,1,10,2
2,0,1,5,2
1,1,1,0,2
3,1,1,1,2
3,0,1,4,1
1,0,1,0,2
2,1,1,4,2
1,1,1,0,2
1,1,1,0,1
2,1,1,6,2
2,0,1,1,1
2,0,1,0,2
2,0,1,6,2
1,1,1,0,2
2,1,1,0,2
2,0,1,0,2
2,0,1,14,2
1,1,1,9,1
3,1,1,1,1
2,0,1,5,2
3,1,1,2,2
2,0,1,1,1
1,1,1,2,2
2,0,1,8,2
2,0,1,3,2
2,0,1,3,2
1,0,1,3,2
3,1,1,1,1
1,0,1,3,2
3,0,1,3,1
2,0,1,0,2
2,1,1,1,2
2,0,1,16,2
2,0,2,0,1
1,0,1,1,2
2,1,1,2,2
2,0,1,5,1
2,1,1,11,1
2,0,2,6,2
2,0,1,15,2
2,0,2,0,1
3,1,2,2,1
3,1,1,5,2
3,1,1,0,1
3,1,2,0,1
2,0,1,5,2
1,1,2,0,1
1,1,1,1,1
2,0,1,0,1
1,1,2,0,2
2,0,1,0,1
1,1,2,0,2
1,0,1,1,2
2,0,1,3,1
2,0,1,3,1
2,0,1,0,2
1,0,1,11,2
2,1,1,6,2
3,1,2,0,1
2,1,1,2,1
2,0,1,5,1
2,1,1,0,2
2,0,1,4,2
3,1,1,0,1
2,0,1,10,2
3,0,1,9,1
1,1,2,3,2
1,1,2,2,2
2,0,1,1,1
2,0,1,0,1
3,0,1,15,2
1,0,1,4,2
2,1,1,3,2
2,1,1,5,1
2,1,1,1,2
1,1,1,3,2
2,0,1,18,2
3,0,2,4,2
3,1,2,0,1
1,0,1,0,2
1,0,2,0,2
2,0,1,0,2
2,0,1,8,2
2,0,2,10,2
3,1,2,1,2
2,1,1,2,2
2,0,1,0,2
2,0,1,13,2
2,1,1,1,2
2,0,1,23,2
3,0,1,20,2
1,0,1,3,2
2,0,1,1,1
3,0,1,2,1
2,0,1,0,1
3,1,1,1,1
1,0,1,0,2
2,0,1,11,2
2,0,2,0,1
3,1,2,2,2
2,0,1,0,1
2,0,1,0,1
3,0,1,17,2
1,0,1,3,2
2,1,2,0,1
2,1,2,15,2
1,0,1,2,1
2,0,1,3,2
3,1,1,3,2
2,0,1,5,2
2,0,1,4,1
2,0,1,14,2
3,1,1,2,2
2,0,1,3,1
3,1,1,2,2
3,0,1,20,2
2,0,1,2,1
1,0,1,1,1
2,0,1,1,2
3,0,1,0,2
2,0,1,6,2
2,0,1,10,1
2,1,1,1,2
3,1,2,9,2
3,1,1,1,2
2,0,1,0,2
3,1,2,2,2
1,0,1,0,2
3,0,1,0,1
1,0,1,1,2
2,1,1,1,2
2,1,1,0,1
1,1,1,0,1
2,1,1,0,2
3,1,1,0,1
1,1,1,1,2
1,0,1,0,2
2,1,1,1,2
1,1,1,1,2
3,0,1,0,2
2,0,2,4,2
3,0,1,2,2
1,0,1,6,2
1,0,1,0,2
2,0,1,0,2
1,0,1,0,2
3,0,1,11,2
1,0,1,0,2
1,1,2,0,1
2,1,1,22,2
1,0,1,0,2
3,1,2,0,2
2,0,1,7,1
2,0,2,1,1
3,0,1,8,2
2,0,1,10,1
2,0,2,0,2
1,0,1,0,2
1,0,1,2,2
2,0,1,4,2
3,0,2,19,2
1,1,2,1,2
1,0,2,0,2
3,0,2,0,2
2,0,1,5,2
2,0,1,6,2
2,0,1,4,2
2,0,1,1,1
2,0,1,0,1
2,1,1,0,1
3,1,1,0,1
2,0,1,4,2
2,0,2,4,2
1,1,1,1,1
1,1,1,2,2
1,1,1,0,2
3,0,1,11,2
3,1,1,0,2
2,1,1,0,1
1,0,1,1,2
2,1,1,2,1
1,0,1,0,2
2,0,1,22,2
3,0,1,0,1
1,1,1,0,2
1,0,2,1,1
2,0,2,1,1
2,1,1,2,2
2,0,1,3,2
2,0,2,0,1
2,0,1,17,2
1,0,1,1,2
2,0,1,7,2
2,1,1,8,2
2,0,1,14,2
2,0,1,0,1
2,1,2,1,1
2,0,1,5,1
2,0,1,16,2
2,1,1,1,1
2,1,1,0,1
2,0,1,3,1
1,0,2,1,2
2,1,1,2,1
2,0,1,13,2
2,0,1,3,2
3,0,1,25,2
1,0,1,1,1
2,1,1,5,2
3,0,1,4,1
2,0,1,4,1
3,1,1,4,1
2,0,1,1,2
2,0,1,2,1
2,0,1,6,2
3,1,1,0,2
1,0,1,1,2
1,0,1,1,2
1,1,1,3,2
2,0,1,4,1
3,1,1,1,2
1,0,1,5,2
2,1,1,0,2
3,1,1,0,2
1,0,1,7,1
1,1,2,0,1
1,0,1,1,2
2,0,1,9,1
2,0,1,5,2
1,1,2,1,2
2,0,1,0,2
2,0,1,25,1
2,0,1,13,2
2,0,2,4,2
2,1,1,0,2
3,0,2,0,2
1,0,1,3,2
2,0,2,1,1
1,1,1,1,2
2,1,1,3,2
1,0,1,6,2
2,0,1,1,2
3,1,1,1,2
2,0,1,1,2
3,0,1,3,2
2,0,1,4,2
2,1,2,1,2
2,0,2,1,2
2,0,1,9,2
2,1,1,0,2
3,1,1,1,2
2,0,1,3,1
2,0,1,3,2
2,0,1,5,1
2,0,1,0,2
2,1,2,3,1
1,1,1,0,2
2,0,1,6,1
1,0,1,1,2
3,0,1,2,2
2,0,1,0,1
3,1,1,1,2
2,0,1,4,1
3,1,2,1,2
1,0,1,2,2
2,0,1,19,2
3,0,1,3,1
2,1,1,2,2
2,0,1,10,1
2,0,1,1,2
2,1,2,1,1
2,0,1,14,2
1,0,1,2,2
2,0,1,5,2
1,0,1,1,2
2,0,1,2,1
1,0,1,6,2
2,1,2,0,2
1,1,1,0,2
2,0,1,1,1
3,0,1,0,2
2,0,1,7,2
2,1,1,2,2
2,1,1,5,2
1,1,1,0,1
1,1,2,0,1
3,0,1,0,2
2,0,1,10,2
1,1,1,0,1
1,0,1,2,2
2,0,1,5,1
2,0,1,10,2
3,0,1,4,1
2,0,1,0,1
1,0,2,0,2
3,0,1,6,1
2,0,1,0,2
2,0,1,1,1
1,0,1,1,1
2,0,1,4,1
2,0,2,3,2
1,0,1,2,2
2,1,1,8,2
2,0,1,6,2
1,0,1,0,2
1,0,2,0,1
2,0,1,0,1
3,0,1,17,1
1,1,1,2,2
1,0,1,2,1
2,0,1,5,2
2,0,1,2,2
2,1,1,6,2
2,0,1,2,2
2,0,1,0,2
2,0,1,17,1
2,0,1,11,1
2,0,1,1,2
2,0,1,6,2
3,1,1,1,2
3,0,2,0,2
1,1,1,3,1
3,0,2,5,2
2,0,1,16,2
2,0,2,5,1
3,1,1,0,2
2,0,1,3,1
3,0,1,2,1
2,1,1,1,2
3,1,1,5,1
2,0,1,1,1
1,0,2,0,1
2,0,1,1,2
2,0,1,0,2
2,1,2,0,1
2,1,1,2,1
2,0,1,2,1
2,0,1,4,1
2,0,2,0,2
2,0,2,4,2
3,1,2,30,1
3,0,1,4,2
2,0,1,2,2
2,1,2,0,2
3,1,1,0,2
1,0,1,5,2
1,0,1,0,2
2,0,1,0,2
2,0,1,2,2
3,1,2,4,2
3,1,1,1,2
2,0,1,8,2
2,1,1,3,2
2,0,1,1,2
3,0,1,10,2
3,1,1,2,1
2,1,1,1,1
2,1,1,0,2
3,1,1,0,2
3,0,1,1,2
3,1,1,2,2
2,1,1,6,1
1,0,1,1,1
2,0,1,0,2
2,0,1,9,2
2,1,1,2,1
1,1,1,0,1
2,0,1,18,1
2,1,2,5,2
1,0,1,1,2
1,0,2,0,2
3,1,1,8,2
3,0,1,7,2
2,1,1,3,2
1,1,2,2,2
1,0,2,3,2
3,1,1,3,1
2,1,1,4,1
3,1,1,1,1
1,1,2,0,1
2,1,2,1,2
2,0,1,0,1
2,0,1,16,2
2,0,1,4,1
2,0,1,12,1
2,1,1,0,1
2,1,2,0,1
2,0,1,9,2
2,0,1,11,2
3,0,2,1,2
2,0,1,1,1
3,1,2,6,1
2,1,1,0,1
1,0,2,0,2
2,0,2,14,2
2,1,1,1,1
3,1,2,0,1
1,1,1,0,2
3,1,2,0,2
1,0,2,0,2
2,1,1,0,1
2,1,1,4,2
2,1,2,0,1
1,0,1,2,2
1,1,1,1,1
1,0,1,0,2
2,0,2,2,2
2,1,1,3,1
1,0,1,0,2
2,0,1,9,2
1,0,1,0,2
2,0,2,3,2
3,0,1,4,1
1,0,2,0,1
2,1,1,0,1
2,0,1,4,2
2,1,2,11,2
2,0,2,6,2
3,0,1,3,2
2,1,2,3,1
2,1,1,2,2
2,1,2,0,2
1,0,1,0,1
2,1,2,1,1
3,1,1,8,2
2,0,1,0,1
2,1,1,0,2
2,0,1,4,2
2,0,1,7,2
2,1,1,0,2
2,0,1,3,2
2,0,2,0,1
1,1,1,1,2
2,0,1,1,2
2,0,1,0,1
2,0,1,1,1
2,1,1,0,2
1,0,1,0,1
3,1,1,0,1
1,0,1,0,2
2,0,2,2,2
2,0,1,0,1
2,1,2,1,1
1,0,1,0,2
3,0,1,12,2
2,0,1,6,1
2,0,1,2,1
1,1,1,4,1
2,0,1,0,1
2,0,1,4,2
1,1,1,1,2
2,1,2,0,2
2,0,1,1,2
2,1,1,3,1
1,0,1,1,2
1,1,1,0,1
3,1,1,0,1
3,1,1,3,2
1,0,1,0,2
1,0,1,0,2
2,0,1,4,2
3,1,1,2,2
2,1,2,0,2
2,1,1,9,1
1,0,1,0,2
3,1,2,5,1
2,0,1,4,2
2,1,1,0,1
2,1,2,1,1
1,1,1,0,2
2,0,1,0,1
2,1,1,2,1
1,0,1,0,2
2,0,1,0,2
1,0,1,0,1
2,1,1,1,1
2,1,1,0,1
2,1,1,2,2
2,0,2,1,2
2,0,1,2,2
3,1,1,0,1
2,0,1,1,2
1,1,1,6,2
2,0,1,0,2
3,1,1,4,1
3,0,1,7,2
2,1,1,0,2
2,1,1,7,1
3,1,1,7,2
2,0,1,0,1
3,1,1,12,1
1,0,1,0,2
2,0,1,4,1
2,0,1,0,1
2,1,1,0,1
3,1,2,5,2
2,0,1,4,2
2,0,1,2,2
2,1,1,2,2
2,0,1,0,1
3,0,2,4,2
1,1,2,1,1
1,0,1,2,2
2,1,1,0,2
2,1,1,2,2
1,0,1,0,1
2,1,1,0,2
1,0,1,6,2
2,0,1,15,2
1,0,1,0,2
2,0,1,1,2
3,0,1,8,2
2,1,1,2,1
2,1,1,6,2
1,0,1,0,2
2,0,1,2,1
2,0,1,11,1
2,0,1,7,2
2,0,1,1,1
2,1,1,4,2
1,0,1,2,2
1,0,1,1,1
2,0,1,0,2
1,0,2,0,1
2,1,2,0,1
2,0,1,1,1
3,1,1,0,2
3,1,1,17,2
3,1,2,0,1
2,0,2,1,2
2,1,1,10,2
2,0,1,2,2
1,0,1,0,2
2,1,1,0,2
1,0,1,3,2
1,0,1,2,2
2,1,1,0,1
2,0,1,2,2
2,0,2,4,2
2,1,1,1,1
2,1,1,7,1
2,0,1,3,2
1,0,1,0,2
3,1,1,2,1
2,0,1,0,2
1,0,1,1,1
2,0,1,19,2
3,1,2,1,2
2,1,1,0,2
2,1,2,0,2
2,0,1,0,2
2,0,2,14,2
2,0,1,0,2
2,0,1,3,2
2,1,1,2,1
2,0,2,2,2
1,0,1,3,2
3,1,1,1,2
1,0,2,1,1
3,1,1,2,1
2,1,1,0,1
2,0,2,0,1
2,1,1,0,2
3,0,1,0,1
2,0,2,8,2
2,1,1,1,2
1,0,1,1,2
2,1,1,1,1
2,0,1,3,2
3,0,1,9,1
2,0,1,20,2
2,0,2,1,2
2,0,1,0,1
1,1,1,5,1
2,1,1,1,2
1,0,1,0,1
2,1,2,6,2
2,0,2,2,1
2,0,1,8,2
3,0,1,4,1
3,1,2,2,2
1,0,2,0,1
2,0,1,2,1
3,0,1,9,2
2,0,1,2,2
1,0,1,5,2
1,0,1,3,2
2,1,1,3,2
2,0,2,1,1
3,0,1,15,1
3,1,1,3,1
1,1,2,1,2
2,1,1,2,1
1,0,1,3,2
1,0,1,12,1
1,1,1,3,2
2,1,1,6,2
1,0,1,4,2
2,1,2,7,1
2,0,1,5,2
3,1,2,1,2
1,0,1,1,2
2,0,1,6,2
1,0,2,1,2
2,0,1,15,2
3,1,1,0,2
1,1,2,0,2
2,0,1,5,2
3,0,2,1,2
2,1,2,5,2
3,1,1,14,1
2,1,1,5,1
3,1,1,0,1
