isMale,isMarried,AgeGroup,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HasHistoryOfOverduePayments
0,0,1,3,-0.5088820157283805,-0.3493246320062693,0,0,0,-0.46422364860964804,-0.17585210913996274,1,2,1
1,0,2,4,-0.15068305640574975,-0.10775209020208136,0,0,6,-0.035459665456236904,-0.2642411010550996,0,0,0
0,0,2,4,-0.14235284804940948,-0.3224832384724706,0,0,0,-0.10176337419130048,-0.37472734094902077,1,12,1
0,1,1,3,-0.558863265866422,-0.38511315671800084,0,4,0,-0.4686438958586523,-0.2642411010550996,0,0,0
0,1,3,3,-0.14651795222757963,-0.3224832384724706,0,6,0,-0.1150241159383132,-0.13165761318239427,0,0,0
0,1,2,3,-0.5297075366192311,-0.3493246320062693,0,0,0,-0.5084261210996904,-0.37472734094902077,2,7,1
0,1,3,3,-0.6796512870333556,-0.2061705331593431,4,6,0,-0.6984967528068727,-0.3084355970126681,0,0,0
0,1,3,4,1.6902929903454456,-0.17932913962554445,0,0,0,1.90060862960762,0.15560661054180067,0,0,0
0,0,1,3,-0.7462929538840777,-0.36721889436213506,3,6,0,-0.6984967528068727,-0.22004660509753118,1,1,1
0,0,3,2,0.22417631962956153,-0.3493246320062693,0,0,3,0.3314208562111149,-0.17585210913996274,1,2,1
1,1,3,4,-0.7546231622404179,-0.38511315671800084,1,6,0,-0.6763955165618515,-0.2642411010550996,0,0,0
1,1,3,2,-0.7171372246368868,-0.30458897611660485,2,6,0,-0.6454537858188218,-0.10956036520361005,0,0,0
0,0,2,4,0.01175600654288514,-0.3493246320062693,0,0,0,0.11924898825891145,-0.17585210913996274,0,0,0
0,1,3,4,-0.6088445160044635,-0.07196356549034981,2,6,0,-0.5703095825857498,-0.37472734094902077,1,1,1
0,1,1,3,-0.392259098739617,-0.37616602554006795,0,0,6,-0.3316162311395209,-0.24214385307631542,0,0,0
0,1,3,3,-0.7088070162805465,-0.2866947137607391,4,6,0,-0.6675550220638431,-0.13165761318239427,0,0,0
0,0,3,4,1.0280414260163957,-0.2777475825828062,0,0,0,1.091703383039844,-0.04326862126725737,0,0,0
1,0,3,3,1.6194862193165533,-0.2240647955152089,0,0,0,1.5911913221773228,0.08931486660544799,0,0,0
1,0,3,3,-0.1631783689402601,-0.38511315671800084,0,0,2,-0.04872040720324962,-0.37472734094902077,1,3,1
0,1,2,3,0.7823002795043583,-0.29564184493867196,0,0,6,0.9369947293246956,-0.0653658692460416,0,0,0
1,1,3,3,-0.7712835789530984,-0.4209016814297324,0,6,0,-0.6940765055578685,-0.35263009297023656,0,0,0
0,0,2,3,-0.3089570151762145,0.572229879320818,4,6,0,-0.6498740330678261,0.13350936256301646,0,0,0
0,1,3,2,-0.5172122240847208,-0.37616602554006795,0,0,5,-0.4332819178666184,-0.2863383490338839,1,2,1
0,1,3,3,1.573670073356682,-0.18827627080347734,1,5,1,1.794522695631518,-0.37472734094902077,0,0,0
1,0,2,4,-0.525542432441061,0.10697905806830793,3,6,0,-0.6940765055578685,-0.35263009297023656,0,0,0
0,1,2,2,-0.6046794118262934,-0.3493246320062693,0,4,0,-0.5172666155976989,-0.2863383490338839,0,0,0
1,1,2,3,-0.5546981616882519,-0.3493246320062693,0,0,1,-0.5879905715817667,-0.17585210913996274,0,0,0
1,1,3,4,1.1238388221143085,-0.15248774609174578,0,0,0,0.9679364600677253,0.31028734639329025,0,0,0
0,1,3,3,-0.15484816058391987,-0.37616602554006795,0,0,6,-0.05314065445225386,-0.24214385307631542,0,0,0
1,1,3,3,-0.5755236825791025,-0.2240647955152089,3,6,0,-0.48632488485466924,-0.08746311722482583,0,0,0
0,1,2,3,1.1571596555396695,-0.2598533202269404,0,0,0,1.259672778502005,0.02302312266909531,0,0,0
1,1,3,4,-0.658825766142505,-0.17038200844761156,3,6,0,-0.6233525495738007,0.02302312266909531,0,0,0
1,0,2,3,-0.4755611823030195,-0.3493246320062693,0,0,0,-0.4111806816215972,-0.17585210913996274,1,14,1
1,0,2,3,-0.45473566141216887,-0.3493246320062693,0,2,1,-0.40676043437259296,-0.2642411010550996,1,4,1
1,0,2,3,-0.13818774387123936,-0.38511315671800084,0,0,2,-0.026619170958228428,-0.2642411010550996,0,0,0
1,1,3,3,-0.18816899400928086,-0.38511315671800084,0,0,2,-0.08850263244428777,-0.2642411010550996,0,0,0
1,0,3,3,-0.15068305640574975,-0.37616602554006795,0,0,6,-0.035459665456236904,-0.2642411010550996,0,0,0
0,0,1,3,-0.17983878565294062,-0.29564184493867196,0,0,0,-0.17690757742437255,-0.04326862126725737,1,6,1
0,1,2,3,-0.5796887867572726,-0.027227909600685374,2,6,0,-0.6145120550757922,0.376579090329643,0,0,0
0,1,3,4,1.8069159073342094,-0.15248774609174578,0,0,0,2.0376362943267514,0.31028734639329025,0,0,0
0,0,2,4,-0.6796512870333556,-0.2240647955152089,3,6,0,-0.6675550220638431,0.13350936256301646,0,0,0
1,1,3,3,-0.7712835789530984,-0.4209016814297324,0,6,0,-0.6940765055578685,-0.35263009297023656,0,0,0
0,0,2,2,-0.125692431336729,-0.3493246320062693,0,0,4,-0.008938181962211472,-0.24214385307631542,0,0,0
0,0,2,3,0.1908554862042005,1.207476192954053,0,5,0,0.3270006089621107,-0.04326862126725737,0,0,0
0,0,2,4,-0.6629908703206752,0.11592618924624082,1,6,0,-0.6189323023247965,-0.37472734094902077,2,5,1
1,0,2,4,1.4820377814369394,-0.15248774609174578,0,0,1,1.4497434102091873,0.13350936256301646,0,0,0
1,0,2,2,-0.1631783689402601,0.3932872557621603,2,2,4,-0.1282848576853259,1.6582194730991282,1,2,1
0,0,1,3,-0.6463304536079947,-0.15248774609174578,4,6,0,-0.6940765055578685,-0.04326862126725737,1,2,1
0,0,2,4,-0.32145232771072485,-0.37616602554006795,0,3,1,-0.21668980266541069,-0.24214385307631542,0,0,0
0,1,3,4,-0.7337976413495673,-0.4030074190738666,1,6,0,-0.6542942803168303,-0.3084355970126681,0,0,0
0,0,2,4,-0.7421278497059075,-0.3582717631842022,1,6,0,-0.6940765055578685,-0.19794935711874698,0,0,0
1,1,3,4,2.15261955412233,-0.09880495902414847,0,0,0,2.4089370632431075,-0.37472734094902077,1,3,1
0,0,3,4,-0.7421278497059075,-0.4298488126076653,0,6,0,-0.6631347748148388,-0.37472734094902077,0,0,0
1,1,3,4,-0.7671184747749282,-0.4119545502517995,1,6,0,-0.6984967528068727,-0.37472734094902077,0,0,0
1,1,2,3,-0.20066430654379125,-0.3493246320062693,0,0,3,-0.1282848576853259,-0.17585210913996274,0,0,0
1,0,2,3,-0.6296700368953141,-0.37616602554006795,0,6,0,-0.6233525495738007,-0.2642411010550996,0,0,0
0,1,3,3,-0.6546606619643349,-0.17038200844761156,2,6,0,-0.6675550220638431,-0.021171373288473145,0,0,0
1,1,3,4,-0.03822524359515636,-0.29564184493867196,2,4,0,0.030844043278826675,-0.04326862126725737,0,0,0
1,0,2,3,-0.6838163912115257,-0.37616602554006795,0,6,0,-0.6056715605777837,-0.24214385307631542,0,0,0
0,1,2,2,-0.009069514347965485,1.1358991435305898,1,6,0,-0.5482083463407286,3.492291055338219,0,0,0
1,0,2,4,0.015921110721055266,-0.29564184493867196,0,0,4,0.10156799926289449,-0.17585210913996274,1,2,1
0,1,3,3,-0.5213773282628908,0.11592618924624082,3,6,0,-0.48190463760566504,0.2439956024569376,0,0,0
1,1,3,2,-0.3422778486015755,-0.3582717631842022,0,0,0,-0.3050947476454955,-0.22004660509753118,1,12,1
0,0,2,1,-0.08404138955502774,1.055374962929194,2,6,0,-0.6984967528068727,0.06721761862666377,0,0,0
0,0,2,4,1.1904804889650304,0.9390622576160664,0,0,0,1.3613384652291025,-0.021171373288473145,0,0,0
0,0,1,2,-0.6504955577861647,-0.3582717631842022,0,6,0,-0.6233525495738007,-0.3084355970126681,0,0,0
1,0,1,3,-0.6088445160044635,-0.37616602554006795,0,0,0,-0.5393678518427201,-0.2863383490338839,1,2,1
1,1,3,4,-0.4880564948375299,0.813802421125006,3,6,0,-0.6587145275658346,-0.37472734094902077,0,0,0
0,0,1,3,-0.5338726407974013,-0.2866947137607391,0,1,3,-0.47306414310765654,-0.17585210913996274,0,0,0
1,0,2,3,-0.2423153483254925,-0.38511315671800084,0,0,0,-0.1945885664203895,-0.2642411010550996,0,0,0
0,1,3,4,0.0700674650372669,5.806301618411557,4,6,0,-0.5968310660797752,-0.19794935711874698,0,0,0
0,1,3,2,-0.5755236825791025,-0.00038651606688671535,3,6,0,-0.6366132913208133,-0.33053284499145236,0,0,0
0,1,2,3,-0.11736222298038874,0.49170569871942205,1,4,0,-0.6321930440718091,-0.33053284499145236,0,0,0
0,0,2,3,-0.4630658697685091,0.24118602573730122,3,6,0,-0.40676043437259296,0.13350936256301646,0,0,0
0,1,2,3,-0.7004768079242063,-0.2688004514048733,3,6,0,-0.6366132913208133,-0.04326862126725737,0,0,0
0,0,2,3,-0.6504955577861647,-0.18827627080347734,2,6,0,-0.5658893353367456,-0.3084355970126681,0,0,0
0,0,1,4,-0.425579932164978,0.42907578047389183,1,1,2,-0.3537174673845421,1.746608465014265,0,0,0
0,1,2,2,2.7232388265316367,0.47381143636355627,0,0,0,2.753716348665438,1.857094704908186,1,2,1
1,1,2,2,-0.41724972380863773,-0.3940602878959337,0,0,0,-0.3271959838905167,-0.37472734094902077,1,3,1
1,0,2,3,0.5157336121014703,-0.3493246320062693,0,0,0,0.6717798943844413,-0.17585210913996274,0,0,0
1,0,2,4,-0.7712835789530984,-0.4209016814297324,0,6,0,-0.6940765055578685,-0.35263009297023656,0,0,0
0,1,3,4,2.702413305640786,-0.13459348373588,0,0,0,2.9924097001116667,0.28819009841450605,0,0,0
1,0,2,3,0.015921110721055266,-0.3582717631842022,1,5,0,0.14135022450393264,-0.2642411010550996,0,0,0
0,0,2,4,0.4865778828542794,-0.17932913962554445,0,1,0,0.6408381636414117,-0.19794935711874698,0,0,0
0,0,2,4,-0.7421278497059075,-0.3582717631842022,1,6,0,-0.6984967528068727,-0.37472734094902077,0,0,0
0,1,2,2,1.1654898638960098,-0.24195905787107466,0,0,0,1.3613384652291025,0.06721761862666377,0,0,0
0,1,3,3,-0.017399722704305735,-0.3582717631842022,0,0,3,0.09714775201389025,-0.19794935711874698,0,0,0
0,1,2,3,-0.12985753551489912,-0.3224832384724706,0,0,6,-0.10618362144030473,-0.2642411010550996,2,4,1
0,1,3,2,-0.13402263969306924,-0.36721889436213506,0,0,1,-0.01777867646021995,-0.24214385307631542,0,0,0
0,0,2,4,-0.7754486831312685,-0.4298488126076653,0,6,0,-0.6984967528068727,-0.37472734094902077,0,0,0
0,1,3,3,-0.7712835789530984,-0.4209016814297324,0,6,0,-0.6940765055578685,-0.35263009297023656,0,0,0
0,1,3,4,-0.758788266418588,-0.3940602878959337,2,6,0,-0.6984967528068727,-0.2863383490338839,1,1,1
0,1,3,2,0.7448143419008272,-0.3224832384724706,0,0,0,0.9148934930796744,-0.10956036520361005,0,0,0
0,0,2,3,-0.14235284804940948,-0.36721889436213506,0,3,3,-0.026619170958228428,-0.22004660509753118,0,0,0
1,0,2,4,1.0238763218382256,-0.18827627080347734,0,0,0,1.2110500587629585,-0.10956036520361005,1,2,1
0,1,2,3,-0.258975765038173,-0.4298488126076653,0,5,0,-0.1503860939303471,-0.37472734094902077,1,5,1
1,1,3,4,-0.7546231622404179,-0.37616602554006795,3,6,0,-0.6940765055578685,-0.35263009297023656,0,0,0
0,0,2,3,0.00342579818654489,-0.23301192669314177,0,0,0,0.035264290527830915,-0.37472734094902077,2,7,1
0,0,2,3,-0.7754486831312685,-0.4298488126076653,0,6,0,-0.6984967528068727,-0.37472734094902077,1,1,1
0,0,3,2,-0.7462929538840777,-0.3940602878959337,1,6,0,-0.6675550220638431,-0.2863383490338839,0,0,0
1,1,2,3,0.07839767339360715,-0.15248774609174578,0,0,0,0.07062626851986482,-0.37472734094902077,1,12,1
0,0,2,4,-0.7462929538840777,-0.36721889436213506,2,6,0,-0.6896562583088642,-0.37472734094902077,2,7,1
1,0,2,3,-0.5338726407974013,-0.3493246320062693,0,0,0,-0.5216868628467032,-0.24214385307631542,1,4,1
0,1,2,4,-0.5713585784009324,-0.4298488126076653,0,6,0,-0.48190463760566504,-0.37472734094902077,0,0,0
1,1,2,4,-0.6879814953896959,-0.24195905787107466,2,6,0,-0.6719752693128472,-0.2863383490338839,0,0,0
